Symbol,EntryDate,EntryPrice,Quantity,Capital,ExitDate,ExitPrice,PnL,PnL%,DaysHeld,ExitReason,TrackType
NMDC,2026-03-23,75.0,133,9975.0,2026-06-03,96.12,2808.96,28.16,72.0,Price at BB Upper (₹95.68),Paper
PFC,2026-03-23,387.0,25,9675.0,2026-06-04,424.45,936.25,9.68,73,"Manual exit — missed BB Upper in Apr, exiting at current price",Paper
DRREDDY,2026-03-24,1253.3,7,8773.1,2026-06-04,1267.5,99.4,1.13,72,"Manual exit — missed BB Upper ~1350 in Apr, exiting at current price",Paper
TORNTPOWER,2026-03-24,1362.8,7,9539.6,2026-06-04,1440.0,540.4,5.66,72,"Manual exit — missed BB Upper ~1700 in Apr, exiting at current price",Paper
NTPC,2026-04-06,358.8,27,9687.6,2026-06-04,366.4,205.2,2.12,59,"Manual exit — missed BB Upper ~408 in Apr, exiting at current price",Paper
INTELLECT,2026-07-01,717.25,13,9324.25,2026-07-06,787.0,906.75,9.72,5,Price at BB Upper (779.27),Paper
PREMIERENE,2026-07-07,1022.9,9,9206.1,2026-07-10,1089.2,596.7,6.48,3,Price at BB Upper (1081.19),Paper
ASAHIINDIA,2026-06-30,838.8,11,9226.8,2026-07-13,914.9,837.1,9.07,13,Price at BB Upper (913.46),Paper
SHYAMMETL,2026-06-25,935.05,10,9350.5,2026-07-15,1035.95,1009.0,10.79,20,Price at BB Upper (1014.42),Paper
SBIN,2026-07-15,1015.4,9,9138.6,2026-07-21,1060.0,401.4,4.39,6,Price at BB Upper (1058.31),Paper
JSWSTEEL,2026-06-24,1242.2,8,9937.6,2026-07-22,1257.0,118.4,1.19,28,Price at BB Upper (1254.53),Paper
ELECON,2026-07-10,498.05,20,9961.0,2026-07-24,437.1,-1219.0,-12.24,14,Stop loss hit (448.25),Paper
SUZLON,2026-07-09,53.13,188,9988.44,2026-07-30,47.45,-1067.84,-10.69,21,Stop loss hit (47.82),Paper
INDGN,2026-07-08,494.15,20,9883.0,2026-07-31,523.6,589.0,5.96,23,Price at BB Upper (523.07),Paper
ZEEL,2026-07-09,99.56,100,9956.0,2026-07-31,112.21,1265.0,12.71,22,Price at BB Upper (111.77),Paper
REDINGTON,2026-07-27,259.05,38,9843.9,2026-07-31,310.95,1972.2,20.03,4,Price at BB Upper (297.68),Paper
KOTAKBANK,2026-07-07,381.3,26,9913.8,2026-08-05,398.0,434.2,4.38,29,Price at BB Upper (397.92),Paper
SCI,2026-07-09,277.6,36,9993.6,2026-08-05,300.9,838.8,8.39,27,Price at BB Upper (297.82),Paper
APARINDS,2026-07-09,13443.0,1,13443.0,2026-08-05,14746.0,1303.0,9.69,27,Price at BB Upper (14546.64),Paper
LT,2026-07-09,3892.1,2,7784.2,2026-08-06,4057.0,329.8,4.24,28,Price at BB Upper (4044.68),Paper
PIDILITIND,2026-07-16,1555.4,6,9332.4,2026-08-06,1665.0,657.6,7.05,21,Price at BB Upper (1658.15),Paper
TATATECH,2026-06-30,715.0,13,9295.0,2026-08-07,801.55,1125.15,12.1,38,Price at BB Upper (793.07),Paper
UNIONBANK,2026-07-06,163.09,61,9948.49,2026-08-07,182.5,1184.01,11.9,32,Price at BB Upper (179.26),Paper
TRITURBINE,2026-07-09,613.1,16,9809.6,2026-08-07,646.35,532.0,5.42,29,Price at BB Upper (638.01),Paper
TIMKEN,2026-07-09,3260.9,3,9782.7,2026-08-07,3343.1,246.6,2.52,29,Price at BB Upper (3300.64),Paper
SAMMAANCAP,2026-07-10,161.03,62,9983.86,2026-08-07,167.22,383.78,3.84,28,Price at BB Upper (167.17),Paper
